Tipo de Mapa;Clave;Presencia;Factor de Carga;Tiempo
Cuadratic Probing;UserID;Almacenados;0.142254;0.196833
Cuadratic Probing;UserID;No almacenados;0.142254;0.366749
Double Hashing;UserID;Almacenados;0.142254;0.18821
Double Hashing;UserID;No almacenados;0.142254;0.235123
STL;UserID;Almacenados;0.142254;0.172837
STL;UserID;No almacenados;0.142254;1.98093
Hashing Encadenado;UserID;Almacenados;0.189672;0.092331
Hashing Encadenado;UserID;No almacenados;0.189672;0.107194
Linear Probing;UserID;Almacenados;0.189672;0.204825
Linear Probing;UserID;No almacenados;0.189672;0.299358
Cuadratic Probing;UserID;Almacenados;0.189672;0.207447
Cuadratic Probing;UserID;No almacenados;0.189672;0.350503
Double Hashing;UserID;Almacenados;0.189672;0.154039
Double Hashing;UserID;No almacenados;0.189672;0.241949
STL;UserID;Almacenados;0.189672;0.194427
STL;UserID;No almacenados;0.189672;1.92585
Hashing Encadenado;UserID;Almacenados;0.23709;0.092896
Hashing Encadenado;UserID;No almacenados;0.23709;0.112582
Linear Probing;UserID;Almacenados;0.23709;0.219594
Linear Probing;UserID;No almacenados;0.23709;0.311783
Cuadratic Probing;UserID;Almacenados;0.23709;0.2103
Cuadratic Probing;UserID;No almacenados;0.23709;0.305458
Double Hashing;UserID;Almacenados;0.23709;0.163101
Double Hashing;UserID;No almacenados;0.23709;0.268303
STL;UserID;Almacenados;0.23709;0.18727
STL;UserID;No almacenados;0.23709;1.90544
Hashing Encadenado;UserID;Almacenados;0.284509;0.09236
Hashing Encadenado;UserID;No almacenados;0.284509;0.113858
Linear Probing;UserID;Almacenados;0.284509;0.209298
Linear Probing;UserID;No almacenados;0.284509;0.31004
Cuadratic Probing;UserID;Almacenados;0.284509;0.213812
Cuadratic Probing;UserID;No almacenados;0.284509;0.321233
Double Hashing;UserID;Almacenados;0.284509;0.161403
Double Hashing;UserID;No almacenados;0.284509;0.265968
STL;UserID;Almacenados;0.284509;0.173548
STL;UserID;No almacenados;0.284509;1.95219
Hashing Encadenado;UserID;Almacenados;0.331927;0.096274
Hashing Encadenado;UserID;No almacenados;0.331927;0.114017
Linear Probing;UserID;Almacenados;0.331927;0.222963
Linear Probing;UserID;No almacenados;0.331927;0.325553
Cuadratic Probing;UserID;Almacenados;0.331927;0.222118
Cuadratic Probing;UserID;No almacenados;0.331927;0.327948
Double Hashing;UserID;Almacenados;0.331927;0.208316
Double Hashing;UserID;No almacenados;0.331927;0.272707
STL;UserID;Almacenados;0.331927;0.184744
STL;UserID;No almacenados;0.331927;1.94824
Hashing Encadenado;UserID;Almacenados;0.379345;0.096866
Hashing Encadenado;UserID;No almacenados;0.379345;0.117087
Linear Probing;UserID;Almacenados;0.379345;0.222523
Linear Probing;UserID;No almacenados;0.379345;0.334175
Cuadratic Probing;UserID;Almacenados;0.379345;0.21855
Cuadratic Probing;UserID;No almacenados;0.379345;0.441921
Double Hashing;UserID;Almacenados;0.379345;0.166127
Double Hashing;UserID;No almacenados;0.379345;0.269823
STL;UserID;Almacenados;0.379345;0.185413
STL;UserID;No almacenados;0.379345;1.98949
Hashing Encadenado;UserID;Almacenados;0.426763;0.095577
Hashing Encadenado;UserID;No almacenados;0.426763;0.111613
Linear Probing;UserID;Almacenados;0.426763;0.235003
Linear Probing;UserID;No almacenados;0.426763;0.34237
Cuadratic Probing;UserID;Almacenados;0.426763;0.236288
Cuadratic Probing;UserID;No almacenados;0.426763;0.347071
Double Hashing;UserID;Almacenados;0.426763;0.172268
Double Hashing;UserID;No almacenados;0.426763;0.321601
STL;UserID;Almacenados;0.426763;0.194483
STL;UserID;No almacenados;0.426763;1.96889
Hashing Encadenado;UserID;Almacenados;0.474181;0.100827
