Tipo de Mapa;Clave;Número de Elementos;Tiempo
STL;UserID;14000;5.35562
Separate Chaining;UserID;15000;2.67914
Linear Probing;UserID;15000;5.5496
Quadratic Probing;UserID;15000;5.60284
Double Hashing;UserID;15000;5.63943
STL;UserID;15000;5.75854
Separate Chaining;UserID;16000;2.8307
Linear Probing;UserID;16000;5.79444
Quadratic Probing;UserID;16000;5.77641
Double Hashing;UserID;16000;5.8507
STL;UserID;16000;5.89898
Separate Chaining;UserID;17000;3.05699
Linear Probing;UserID;17000;6.33632
Quadratic Probing;UserID;17000;6.22116
Double Hashing;UserID;17000;6.39103
STL;UserID;17000;6.1814
Separate Chaining;UserID;18000;3.15676
Linear Probing;UserID;18000;7.03158
Quadratic Probing;UserID;18000;6.9742
Double Hashing;UserID;18000;6.90778
STL;UserID;18000;6.69623
Separate Chaining;UserID;19000;3.34634
Linear Probing;UserID;19000;7.55297
Quadratic Probing;UserID;19000;7.52305
Double Hashing;UserID;19000;7.54076
STL;UserID;19000;6.94676
Separate Chaining;UserID;20000;3.62907
Linear Probing;UserID;20000;9.65402
Quadratic Probing;UserID;20000;8.73277
Double Hashing;UserID;20000;8.48302
STL;UserID;20000;7.34918
Separate Chaining;UserID;21070;3.85308
Linear Probing;UserID;21070;9.81929
Quadratic Probing;UserID;21070;9.87708
Double Hashing;UserID;21070;9.67666
STL;UserID;21070;7.77684
Separate Chaining;Username;1000;0.338153
Linear Probing;Username;1000;0.473085
Quadratic Probing;Username;1000;0.519029
Double Hashing;Username;1000;0.529879
STL;Username;1000;0.335472
Separate Chaining;Username;2000;0.663846
Linear Probing;Username;2000;0.984664
Quadratic Probing;Username;2000;0.980828
Double Hashing;Username;2000;1.08119
STL;Username;2000;0.671088
Separate Chaining;Username;3000;1.07472
Linear Probing;Username;3000;1.48553
Quadratic Probing;Username;3000;1.40844
Double Hashing;Username;3000;1.72937
STL;Username;3000;1.04021
Separate Chaining;Username;4000;1.28278
Linear Probing;Username;4000;1.9927
Quadratic Probing;Username;4000;1.97919
Double Hashing;Username;4000;2.25532
STL;Username;4000;1.41987
Separate Chaining;Username;5000;1.60391
Linear Probing;Username;5000;2.50004
Quadratic Probing;Username;5000;2.39384
Double Hashing;Username;5000;2.9872
STL;Username;5000;1.66559
Separate Chaining;Username;6000;1.96352
Linear Probing;Username;6000;3.00025
Quadratic Probing;Username;6000;2.91106
Double Hashing;Username;6000;3.5861
STL;Username;6000;2.1607
Separate Chaining;Username;7000;2.21955
Linear Probing;Username;7000;3.55018
Quadratic Probing;Username;7000;3.62062
Double Hashing;Username;7000;4.32727
STL;Username;7000;2.4734
Separate Chaining;Username;8000;2.54078
Linear Probing;Username;8000;4.17427
Quadratic Probing;Username;8000;4.12174
Double Hashing;Username;8000;4.96056
STL;Username;8000;3.13712
Separate Chaining;Username;9000;2.86462
Linear Probing;Username;9000;4.68624
Quadratic Probing;Username;9000;4.69034
Double Hashing;Username;9000;5.61492
STL;Username;9000;3.06682
Separate Chaining;Username;10000;3.1506
Linear Probing;Username;10000;5.05669
Quadratic Probing;Username;10000;5.06137
Double Hashing;Username;10000;6.2372
STL;Username;10000;3.42862
Separate Chaining;Username;11000;3.5118
Linear Probing;Username;11000;5.66301
Quadratic Probing;Username;11000;5.85023
Double Hashing;Username;11000;7.14858
STL;Username;11000;4.0347
Separate Chaining;Username;12000;3.84104
Linear Probing;Username;12000;6.19411
Quadratic Probing;Username;12000;6.2939
Double Hashing;Username;12000;7.6298
STL;Username;12000;4.32071
Separate Chaining;Username;13000;4.16342
Linear Probing;Username;13000;6.97226
Quadratic Probing;Username;13000;6.99639
Double Hashing;Username;13000;8.29885
STL;Username;13000;4.60053
Separate Chaining;Username;14000;4.44159
Linear Probing;Username;14000;7.35672
Quadratic Probing;Username;14000;7.41413
Double Hashing;Username;14000;8.92495
STL;Username;14000;5.07724
Separate Chaining;Username;15000;4.76517
Linear Probing;Username;15000;8.23817
Quadratic Probing;Username;15000;8.20532
Double Hashing;Username;15000;9.92455
STL;Username;15000;5.29202
Separate Chaining;Username;16000;5.31187
Linear Probing;Username;16000;9.13787
Quadratic Probing;Username;16000;8.9381
Double Hashing;Username;16000;10.5612
STL;Username;16000;5.5457
Separate Chaining;Username;17000;5.51779
Linear Probing;Username;17000;9.87392
Quadratic Probing;Username;17000;9.98446
Double Hashing;Username;17000;12.2127
STL;Username;17000;6.08315
Separate Chaining;Username;18000;5.9014
Linear Probing;Username;18000;10.4627
Quadratic Probing;Username;18000;10.4214
Double Hashing;Username;18000;12.467
STL;Username;18000;6.45493
Separate Chaining;Username;19000;6.23732
Linear Probing;Username;19000;11.3365
Quadratic Probing;Username;19000;11.3013
Double Hashing;Username;19000;13.3751
STL;Username;19000;6.65018
Separate Chaining;Username;20000;6.51857
Linear Probing;Username;20000;12.4397
Quadratic Probing;Username;20000;12.1294
Double Hashing;Username;20000;14.2923
STL;Username;20000;6.99675
Separate Chaining;Username;21070;6.83446
Linear Probing;Username;21070;14.0253
Quadratic Probing;Username;21070;13.9445
Double Hashing;Username;21070;16.3588
STL;Username;21070;7.34028
Separate Chaining;UserID;1000;0.192719
Linear Probing;UserID;1000;0.320177
Quadratic Probing;UserID;1000;0.272775
Double Hashing;UserID;1000;0.252834
STL;UserID;1000;0.348216
Separate Chaining;UserID;2000;0.383541
Linear Probing;UserID;2000;0.60381
Quadratic Probing;UserID;2000;0.621368
Double Hashing;UserID;2000;0.515951
STL;UserID;2000;0.697787
Separate Chaining;UserID;3000;0.547551
Linear Probing;UserID;3000;0.931567
Quadratic Probing;UserID;3000;0.935009
Double Hashing;UserID;3000;0.850488
STL;UserID;3000;1.08957
Separate Chaining;UserID;4000;0.720217
Linear Probing;UserID;4000;1.35785
Quadratic Probing;UserID;4000;1.18025
Double Hashing;UserID;4000;1.10051
STL;UserID;4000;1.48233
Separate Chaining;UserID;5000;0.893218
Linear Probing;UserID;5000;1.75062
Quadratic Probing;UserID;5000;1.54336
Double Hashing;UserID;5000;1.55497
STL;UserID;5000;1.71989
Separate Chaining;UserID;6000;1.17886
Linear Probing;UserID;6000;1.94287
Quadratic Probing;UserID;6000;1.95119
Double Hashing;UserID;6000;1.82339
STL;UserID;6000;2.4222
Separate Chaining;UserID;7000;1.22469
Linear Probing;UserID;7000;2.35771
Quadratic Probing;UserID;7000;2.23556
Double Hashing;UserID;7000;2.25399
STL;UserID;7000;2.60123
Separate Chaining;UserID;8000;1.38203
Linear Probing;UserID;8000;2.63835
Quadratic Probing;UserID;8000;2.55921
Double Hashing;UserID;8000;2.67701
STL;UserID;8000;2.92161
Separate Chaining;UserID;9000;1.55862
Linear Probing;UserID;9000;3.07585
Quadratic Probing;UserID;9000;3.07857
Double Hashing;UserID;9000;3.06897
STL;UserID;9000;3.26333
Separate Chaining;UserID;10000;1.86311
Linear Probing;UserID;10000;3.25791
Quadratic Probing;UserID;10000;3.44189
Double Hashing;UserID;10000;4.60916
STL;UserID;10000;3.68062
Separate Chaining;UserID;11000;1.98116
Linear Probing;UserID;11000;3.85943
Quadratic Probing;UserID;11000;3.80888
Double Hashing;UserID;11000;3.85144
STL;UserID;11000;4.34438
Separate Chaining;UserID;12000;2.09511
Linear Probing;UserID;12000;4.17336
Quadratic Probing;UserID;12000;4.27651
Double Hashing;UserID;12000;4.3742
STL;UserID;12000;4.72101
Separate Chaining;UserID;13000;2.33562
Linear Probing;UserID;13000;4.66196
Quadratic Probing;UserID;13000;4.70768
Double Hashing;UserID;13000;4.7204
STL;UserID;13000;5.03819
Separate Chaining;UserID;14000;2.51413
Linear Probing;UserID;14000;5.12968
Quadratic Probing;UserID;14000;5.10285
Double Hashing;UserID;14000;5.23364
STL;UserID;14000;5.40174
Separate Chaining;UserID;15000;2.73373
Linear Probing;UserID;15000;5.48343
Quadratic Probing;UserID;15000;5.56278
Double Hashing;UserID;15000;5.67495
STL;UserID;15000;5.69904
Separate Chaining;UserID;16000;2.93174
Linear Probing;UserID;16000;5.99537
Quadratic Probing;UserID;16000;6.01727
Double Hashing;UserID;16000;6.1573
STL;UserID;16000;6.02097
Separate Chaining;UserID;17000;3.09722
Linear Probing;UserID;17000;6.49801
Quadratic Probing;UserID;17000;6.36777
Double Hashing;UserID;17000;6.51673
STL;UserID;17000;6.37381
Separate Chaining;UserID;18000;3.27635
Linear Probing;UserID;18000;6.8973
Quadratic Probing;UserID;18000;7.03186
Double Hashing;UserID;18000;7.21201
STL;UserID;18000;6.60315
Separate Chaining;UserID;19000;3.44339
Linear Probing;UserID;19000;7.79109
Quadratic Probing;UserID;19000;7.78904
Double Hashing;UserID;19000;8.01663
STL;UserID;19000;7.02077
Separate Chaining;UserID;20000;3.63759
Linear Probing;UserID;20000;8.4678
Quadratic Probing;UserID;20000;8.48693
Double Hashing;UserID;20000;8.33669
STL;UserID;20000;7.31485
Separate Chaining;UserID;21070;3.92154
Linear Probing;UserID;21070;9.98973
Quadratic Probing;UserID;21070;9.83087
Double Hashing;UserID;21070;9.74039
STL;UserID;21070;7.72491
Separate Chaining;Username;1000;0.336
Linear Probing;Username;1000;0.517014
Quadratic Probing;Username;1000;0.450506
Double Hashing;Username;1000;0.533253
STL;Username;1000;0.334685
Separate Chaining;Username;2000;0.663108
Linear Probing;Username;2000;1.07436
Quadratic Probing;Username;2000;0.915007
Double Hashing;Username;2000;1.077
STL;Username;2000;0.665848
Separate Chaining;Username;3000;0.976543
Linear Probing;Username;3000;1.4744
Quadratic Probing;Username;3000;1.459
Double Hashing;Username;3000;1.65701
STL;Username;3000;1.03567
Separate Chaining;Username;4000;1.28567
Linear Probing;Username;4000;1.98498
Quadratic Probing;Username;4000;1.8882
Double Hashing;Username;4000;2.30937
STL;Username;4000;1.35033
Separate Chaining;Username;5000;1.62886
Linear Probing;Username;5000;2.66242
